Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,12-03-2019,Mumbai,Hyderabad,BOM ? VNS ? DEL ? HYD,06:30,16:35,10h 5m,2 stops,No info,23528
Jet Airways,09-05-2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,10-05-2023 12:35,25h 5m,1 stop,In-flight meal not included,12373
SpiceJet,24-04-2019,Delhi,Cochin,DEL ? MAA ? COK,15:45,22:05,6h 20m,1 stop,No info,5583
Multiple carriers,21-03-2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,22-03-2023 01:35,12h 45m,1 stop,No info,7695
Air India,24-06-2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,25-06-2023 19:15,26h,2 stops,No info,11972
SpiceJet,09-04-2019,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No info,3873
Vistara,03-04-2019,Banglore,Delhi,BLR ? DEL,09:45,12:35,2h 50m,non-stop,No info,5403
IndiGo,15-06-2019,Kolkata,Banglore,CCU ? BLR,22:15,16-06-2023 00:50,2h 35m,non-stop,No info,4804
IndiGo,09-06-2019,Mumbai,Hyderabad,BOM ? HYD,06:25,07:55,1h 30m,non-stop,No info,4049
SpiceJet,01-03-2019,Kolkata,Banglore,CCU ? BLR,17:15,19:45,2h 30m,non-stop,No info,5515
Jet Airways,15-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,16-05-2023 14:25,21h 25m,1 stop,No info,11467
Jet Airways,09-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,10-05-2023 18:15,22h 15m,1 stop,In-flight meal not included,7757
Vistara,24-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,25-05-2023 23:25,27h 5m,1 stop,No info,9345
Jet Airways,12-06-2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,05:30,13-06-2023 04:25,22h 55m,2 stops,No info,13292
SpiceJet,24-06-2019,Kolkata,Banglore,CCU ? BLR,22:20,25-06-2023 00:40,2h 20m,non-stop,No check-in baggage included,3841
SpiceJet,15-06-2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
IndiGo,27-06-2019,Banglore,Delhi,BLR ? DEL,07:10,10:05,2h 55m,non-stop,No info,4823
Air India,21-03-2019,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,5674
Jet Airways,27-06-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,29-06-2023 04:25,29h 20m,2 stops,No info,15339
Air India,01-05-2019,Kolkata,Banglore,CCU ? DEL ? AMD ? BLR,07:00,02-05-2023 05:25,22h 25m,2 stops,No info,14424
SpiceJet,09-03-2019,Kolkata,Banglore,CCU ? BLR,22:20,10-03-2023 00:40,2h 20m,non-stop,No info,4622
Air India,24-06-2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,8372
Jet Airways,27-05-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,13:25,28-05-2023 12:35,23h 10m,2 stops,No info,15129
Jet Airways,01-04-2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,02-04-2023 08:15,13h 20m,1 stop,No info,12681
Air Asia,18-05-2019,Delhi,Cochin,DEL ? BLR ? COK,07:55,22:25,14h 30m,1 stop,No info,7452
Jet Airways,12-06-2019,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,In-flight meal not included,5769
Jet Airways,12-06-2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,21:25,13-06-2023 12:35,15h 10m,2 stops,In-flight meal not included,11507
IndiGo,15-03-2019,Mumbai,Hyderabad,BOM ? HYD,19:05,20:30,1h 25m,non-stop,No info,2754
Air India,06-06-2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,8669
Jet Airways,24-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,23:35,9h 30m,1 stop,No info,14571
Jet Airways,24-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,25-05-2023 21:05,24h 40m,1 stop,No info,14151
IndiGo,27-06-2019,Delhi,Cochin,DEL ? HYD ? COK,14:20,22:30,8h 10m,1 stop,No info,6412
Jet Airways,12-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,13-06-2023 04:40,9h 45m,1 stop,In-flight meal not included,6959
IndiGo,21-04-2019,Banglore,Delhi,BLR ? DEL,06:05,08:50,2h 45m,non-stop,No info,4423
Jet Airways,01-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,02-05-2023 23:35,27h 10m,1 stop,No info,11467
SpiceJet,09-05-2019,Chennai,Kolkata,MAA ? CCU,09:45,12:00,2h 15m,non-stop,No info,3597
SpiceJet,09-05-2019,Mumbai,Hyderabad,BOM ? HYD,22:45,10-05-2023 00:15,1h 30m,non-stop,No info,2017
Jet Airways,06-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,10844
Air Asia,09-05-2019,Delhi,Cochin,DEL ? BLR ? COK,20:45,10-05-2023 07:10,10h 25m,1 stop,No info,6751
