iter	RMSE
0	4328.724661
1	4058.839414
2	3834.886443
3	3621.679664
4	3429.148783
5	3263.469782
6	3124.194191
7	3003.26582
8	2907.894746
9	2814.116158
10	2728.553568
11	2650.935332
12	2592.287966
13	2534.064204
14	2471.743311
15	2425.756908
16	2390.017367
17	2355.965726
18	2321.764443
19	2295.54987
20	2262.449827
21	2244.732337
22	2221.713828
23	2198.071692
24	2175.78133
25	2167.263443
26	2154.056788
27	2131.844951
28	2115.635315
29	2092.840155
30	2083.457835
31	2072.362555
32	2055.91394
33	2044.245488
34	2026.234994
35	2013.280786
36	1998.871976
37	1990.853771
38	1980.478742
39	1969.583698
40	1955.891064
41	1944.755551
42	1935.285012
43	1925.421592
44	1916.604786
45	1908.857268
46	1902.995705
47	1891.493307
48	1886.369636
49	1880.277982
50	1873.442258
51	1867.191769
52	1862.806007
53	1855.734635
54	1850.844796
55	1847.701054
56	1842.703105
57	1834.352639
58	1830.397482
59	1819.33553
60	1814.795695
61	1807.931664
62	1803.229924
63	1797.902248
64	1784.287638
65	1780.817332
66	1773.086328
67	1768.847436
68	1765.05639
69	1757.790012
70	1751.564197
71	1748.076672
72	1740.532864
73	1735.80284
74	1734.121175
75	1729.642979
76	1718.332316
77	1711.062115
78	1706.78983
79	1703.349906
80	1699.948543
81	1695.007414
82	1689.307938
83	1682.873852
84	1678.085351
85	1674.26055
86	1667.818382
87	1663.11672
88	1656.022943
89	1652.943489
90	1648.148869
91	1640.593093
92	1634.411238
93	1630.729799
94	1627.073868
95	1623.147764
96	1619.428356
97	1617.511981
98	1611.470868
99	1608.580579
