iter	Passed	Remaining
0	11	1105
1	22	1099
2	33	1090
3	44	1072
4	55	1060
5	66	1044
6	78	1037
7	90	1043
8	103	1045
9	115	1041
10	128	1039
11	139	1024
12	151	1010
13	161	992
14	172	977
15	183	963
16	194	950
17	205	936
18	216	922
19	227	908
20	237	894
21	248	880
22	259	869
23	270	856
24	281	843
25	284	810
26	295	798
27	306	787
28	316	775
29	327	763
30	337	751
31	348	739
32	359	729
33	369	718
34	380	707
35	391	696
36	402	685
37	413	674
38	424	663
39	435	653
40	446	642
41	457	631
42	467	620
43	478	609
44	489	597
45	500	587
46	511	576
47	522	565
48	533	554
49	543	543
50	553	532
51	564	521
52	575	510
53	585	499
54	596	488
55	607	477
56	618	466
57	629	455
58	640	444
59	650	433
60	661	422
61	671	411
62	682	400
63	693	389
64	703	379
65	714	367
66	725	357
67	736	346
68	746	335
69	757	324
70	768	313
71	778	302
72	790	292
73	801	281
74	812	270
75	823	259
76	834	249
77	845	238
78	856	227
79	867	216
80	877	205
81	889	195
82	900	184
83	910	173
84	921	162
85	933	151
86	944	141
87	955	130
88	966	119
89	976	108
90	987	97
91	1000	87
92	1010	76
93	1021	65
94	1033	54
95	1045	43
96	1058	32
97	1070	21
98	1082	10
99	1093	0
